accountid	name	rank
f072a307f36f401e93b1ddc9db0155c3	DouYu-33783	1
249465c18c194ce98183f7c2941af6c2	XiGua_5215210	2
adac22cb9887477ea30498b06ef6521d	Huya_HeiMao-	3
ab46de8032f24d799c7dd4e3c3305883	DouYuTV-6298136	4
7fceabd8d762418c8651853c5aa18d94	XiGua_5200120	5
b83188b4de6745b882876f516e8f1e52	huya_17439179	6
0a094e3c5db34de6bfa8ddf9091083cb	HuYa_17565367	7
121734ca859e4b81add3fdd489af7f0b	HuYa_17343277	8
921848828b6042779a36a5b1766757d2	huya_DAE	9
2fcc9df1e86149eaab66ae36d805cf25	HuYa7suo	10
4b4f953ad152498b839fd2350776e9e8	CoolF1sh	11
fc16e54c8e8e466ca9ab3d3890723fd4	ACE-cGeggggg	12
c77e50f09fbd4923bbae557b7e342589	CoolMi14	13
254186c25938429e83eac50ce67c3969	Hei-huhu	14
04b8fa1d373f4569acac80a0283d5e29	HuyaTV_16438297	15
1328f4a6a1444408845ecb0cbd24ba61	Gx_Xiaogege_4Me	16
c4501640f15148d9be8304d91801778e	Havana_Rabbit	17
a1572c40a0e14a95b7923c3abedd0184	Faith-KingH	18
dc18e30895ad499f96044e7be61d6781	Afreeca_DokGo	19
9a3cdaf11026439ab63e40f10d4d628d	JellyBeen	20
8831b457184244278b7e2c9eb930fd0c	AbnormalMan_TAo	21
8dca096567034a948cf37070194fb7a9	MaRs_WeiXiaoooo	22
35bcd97510ac4ddd934fa39831acdfa7	Daddy_OldMan	23
c7ff66ef44a242a7a81eef1096b8eda1	YishengOwO	24
8959dfe1941f4ba1a35a5906c2e29cef	cytandhyw00	25
60242c81dd9c4e718987b8b489aedea6	HuYaTV_16123221	26
f6c34a48ba544e99b505165c678ca734	ZuiaiFeiya	27
4d9db67ffb7244378bdd8149ad0d27a8	MaoTaiGai	28
4c17a53188004ef596c0e788c53e7164	LeShanAwenOvO	29
eea66ca4d2af4bcdb77d6e3068b344e8	Bootcamp_Nagari	30
3e20d003959144e189b40ccc043b8d31	BX_LiuBo	31
13f6c9dcbc8a4fe6afc19c3f8a2f9130	DouYuTV-6254947	32
953038827af449809706b66f32a91551	whdals256	33
807bbb2a661d40a8929c5280d9729581	DouYuTv-3722664	34
e882a80cbc5540c48dc37793c70d79c3	18A_XiaoKong	35
51ac97ca109b49638f793e55591c2320	merciless-Atuo	36
335a51d3d2754eff912d8573ccd743d5	qiaoben87	37
33b346d8999b42f983df70d66e694390	Douyu_6148804	38
faaf1d74a2e84889802f39315615cd50	zhujianhua1205	39
61c905ced95749848262410cb9096d4b	Faith-KingT	40
bb19834ab61c4cd195a58e432e07db6e	nishinim	41
68dd6da487e14363b5e1c5c590261dcc	IamYinGod	42
42dcb22dd71a40ac8d0a593f02a2296b	BeiShangNanHai	43
7568e9d1b0434f6689802d64adf59e5f	Ace_Tank	44
ff9eefb61d51436a8414c5f943ac9d0d	0prEssur3-JeerT	45
a9ceccdc9377491ba85bd3bbb57a7a2e	M24_killer_A	46
32054cb5e7bb46429114b1aa25643b3f	Tobuywiner	47
05ebf69f9d424ff09df404188f930dbb	HITSCAN__GGYU	48
a86970de89674c358f858e33b639092f	Muou_YY789922	49
2d760e9e2ec7439b99c3a3e85307cc1c	Nake028	50
8d74d8c318cd49d898b1436e2a251544	qqq12ppp	51
bfc15487ce2d4c05a9cebc90b4589d53	SQLspring	52
77c1e9f79ff0429bb5dcba8afdae58fa	Never-Always	53
7e3a3e462b484feeb968f5c2549fe96b	0000000000000003	54
0e7951a0eac046279b1376087ac29aaf	The_Ace_King	55
b377565c5fe447c0a1221faec03d585a	Warsquad_Pony	56
74997c6d4829440ab97d0147e8640eab	weijunziI	57
9fd9f54eb71f48fbb3f74d855109f1d3	pAnTa_Fj	58
57650c08d18c493392b5208c127ee9c6	Yy310017_WDF	59
9f0bd1cd07d8430d914c64e2a39715ec	MaleGod_DuanYu	60
79c04477ddef4805994701f6934efc32	Because-foryou	61
50206a4788f14703a65ddcf3f2e77cfb	BeYourHeroOvO	62
6a0314c9c191407bbba1f4a9c5719b46	PeiWan-FengZI	63
50b6d241a8f442f58e09e6386c7a4b30	Ronin--12	64
61fbf32afaa24b4fab66b5d2273d660a	go777777	65
7bdc941c1f224c23b855a2e74c713b7b	BP_HaiGeGe	66
95a26b7ea8df43f38597a48f7a8c4a87	DouYuTV_983203Ys	67
77bc3bc17ad74cf488ee985a2c406546	ACE-zHanTuuu	68
8d4fff0d3f3c4e8da65da1bdcfdaa2d7	C9_Lizhizzzz	69
b7682cc1e010403fa0286d3b121841bd	ACE-13Christmas	70
db02bd4d20f948af80557ba373a685ae	RRRRRRRRRR___	71
2a81b56859c84a7bb781498839ca3f54	SLJ-Yususu	72
8cfe0dcf95a54b64ae50e8b7734d507c	kdkcfmdkfj	73
c9d38d253a424f3a8c9dfcab4710cfeb	Cross_Captain	74
6bf1ca6c7cd84422a754a303481196b1	racoon486	75
f9360252ef8b415e916873671f9e6885	RMB-Shuai	76
3062df9da821432585b7d5b5a2b8e82b	Kbz-DdochiMoN-3-	77
a67cfe7fd7e84dd98005c6ee2d3b1f14	Loo_DanHen	78
4bb982a8087f4b43964dab84c3a8a04e	Re_Leom	79
cda99a8b01464702ba6cb2f20d64f779	TruE-LovEg	80
11589249957940519f67f139d331fdb4	C9_DaMoWangZzzz	81
502c161dd2334f13adf62f604ecdf3d8	YuLe-AK47	82
0226f9deaab947c181758b68b1440f5a	ziqiDIXIAONAIGOU	83
a7c84acff2ee4a56bf4402003bb3383d	taolu1475510476	84
82d9913b6c734473be40d4886552a0cd	HuYaTv-17533308	85
a2a2e3ce71124c698e2811d169fc8735	Chalk_Azrael	86
