assists	bestRankPoint	boosts	dBNOs	dailyKills	dailyWins	damageDealt	days	headshotKills	heals	killPoints	kills	longestKill	longestTimeSurvived	losses	maxKillStreaks	mostSurvivalTime	rankPoints	rankPointsTitle	revives	rideDistance	roadKills	roundMostKills	roundsPlayed	suicides	swimDistance	teamKills	timeSurvived	top10s	vehicleDestroys	walkDistance	weaponsAcquired	weeklyKills	weeklyWins	winPoints	wins	accountid	rank
4053	7887.457	9089	9123	17	0	1334558.8	152	2555	9405	0	11621	509.42856	1941.303	4114	6	1941.303	0		1570	416198.3	0	21	5052	44	14717.622	54	4314942	3453	35	9171129	20483	256	2	0	1283	f072a307f36f401e93b1ddc9db0155c3	1
4080	7479.506	11902	8339	15	0	1307706	154	2362	9404	0	10487	810.8702	2039.96	3241	5	2039.96	0		1519	2342876.8	10	17	3971	80	11197.328	96	3771802.8	2653	96	7772324.5	18134	20	0	0	935	249465c18c194ce98183f7c2941af6c2	2
3078	7420.9287	8659	10238	103	0	1493163.5	112	3073	6195	0	12830	553.99	1960.201	3218	5	1960.201	0		961	380106.28	14	28	3704	18	8926.8955	27	2810162	2183	34	5633370	14509	402	23	0	743	adac22cb9887477ea30498b06ef6521d	3
4900	7396.72	10411	12510	28	3	1811403.9	165	3328	9522	0	15522	638.9503	1947.037	4579	5	1947.037	0		1912	551107.5	15	18	5440	53	12405.874	65	4019855.2	3108	38	8350226	25062	698	54	0	1172	ab46de8032f24d799c7dd4e3c3305883	4
3581	7291.778	11080	8037	40	0	1180883.9	156	2383	8975	0	10399	530.37396	2186.919	3554	4	2186.919	0		1285	803467.9	4	13	4266	82	23631.994	92	3811395.8	2980	119	8491515	20898	254	9	0	984	7fceabd8d762418c8651853c5aa18d94	5
4543	7275.961	12426	12591	43	2	1806570	163	3295	10352	0	15231	607.81354	1941.573	5275	4	1941.573	0		1461	544308.4	2	17	5724	44	11174.023	61	3415683.5	2668	39	7109958.5	25138	201	12	0	704	b83188b4de6745b882876f516e8f1e52	6
3988	7272.4653	9661	8456	37	1	1278561.8	150	2302	9450	0	10469	548.79944	2186.919	3313	5	2186.919	0		1797	1239679	14	15	4003	112	8098.15	132	3334308.5	2538	85	6880866.5	18738	482	13	0	885	0a094e3c5db34de6bfa8ddf9091083cb	7
3571	7257.303	8055	10382	3	0	1483949.9	134	2705	6850	0	13028	637.7458	1895.532	3501	5	1895.532	0		1205	281173	8	16	3965	20	6428.727	27	2537928.2	1970	31	5470091.5	14173	139	5	0	618	121734ca859e4b81add3fdd489af7f0b	8
3789	7159.3735	16785	10478	39	3	1488461	162	2742	9832	0	12758	543.4035	1982.285	5567	6	1982.285	0		1637	874718.4	0	17	5967	54	16220.413	87	3693327.5	2713	104	7881369	23810	145	6	0	589	921848828b6042779a36a5b1766757d2	9
2728	7090.1284	7501	5779	52	3	910269.1	135	1487	8248	0	7235	549.8365	1980.272	2782	5	1980.272	0		1102	1169671.5	5	16	3249	33	9915.743	45	2770228.5	2122	83	5667952	14976	279	12	0	652	2fcc9df1e86149eaab66ae36d805cf25	10
